Start,End
00:27:27.958,00:27:29.750
00:27:29.750,00:27:33.458
00:27:33.458,00:27:36.083
00:27:36.083,00:27:39.583
00:27:39.583,00:27:41.458
00:27:41.458,00:27:43.333
00:27:43.333,00:27:45.458
00:27:45.458,00:27:47.333
00:27:47.333,00:27:48.708
00:27:48.708,00:27:54.833
00:27:54.833,00:27:56.208
00:27:56.208,00:27:59.375
00:27:59.375,00:28:06.833
00:28:06.833,00:28:08.458
00:28:08.458,00:28:11.083
00:28:11.083,00:28:12.375
00:28:12.375,00:28:14.083
00:28:14.083,00:28:15.583
00:28:15.583,00:28:17.333
00:28:17.333,00:28:18.583
00:28:18.583,00:28:19.708
00:28:19.708,00:28:20.583
00:28:20.583,00:28:21.583
00:28:21.583,00:28:22.500
00:28:22.500,00:28:23.208
00:28:23.208,00:28:24.458
00:28:24.458,00:28:25.583
00:28:25.583,00:28:27.125
00:28:27.125,00:28:28.625
00:28:28.625,00:28:29.708
00:28:29.708,00:28:30.458
00:28:30.458,00:28:31.333
00:28:31.333,00:28:32.708
00:28:32.708,00:28:34.000
00:28:34.000,00:28:34.958
00:28:34.958,00:28:35.708
00:28:35.708,00:28:37.000
00:28:37.000,00:28:38.583
00:28:38.583,00:28:39.583
00:28:39.583,00:28:40.500
00:28:40.500,00:28:41.583
00:28:41.583,00:28:43.375
00:28:43.375,00:28:44.208
00:28:44.208,00:28:45.083
00:28:45.083,00:28:49.333
00:28:49.333,00:28:54.708
00:28:54.708,00:28:56.000
00:28:56.000,00:29:01.208
00:29:01.208,00:29:04.083
00:29:04.083,00:29:04.833
00:29:04.833,00:29:05.458
00:29:05.458,00:29:06.208
00:29:06.208,00:29:07.333
00:29:07.333,00:29:12.333
00:29:12.333,00:29:13.458
00:29:13.458,00:29:17.375
00:29:17.375,00:29:19.333
00:29:19.333,00:29:20.583
00:29:20.583,00:29:21.875
00:29:21.875,00:29:22.958
00:29:22.958,00:29:25.375
00:29:25.375,00:29:32.458
00:29:32.458,00:29:36.958
00:29:36.958,00:29:45.083
00:29:45.083,00:29:51.708
00:29:51.708,00:29:55.625
00:29:55.625,00:29:58.333
00:29:58.333,00:30:01.000
00:30:01.000,00:30:02.708
00:30:02.708,00:30:09.875
00:30:09.875,00:30:11.833
00:30:11.833,00:30:15.000
00:30:15.000,00:30:17.333
00:30:17.333,00:30:20.083
00:30:20.083,00:30:21.500
00:30:21.500,00:30:24.500
00:30:24.500,00:30:25.583
00:30:25.583,00:30:26.708
00:30:26.708,00:30:28.458
00:30:28.458,00:30:29.625
00:30:29.625,00:30:33.250
00:30:33.250,00:30:34.625
00:30:34.625,00:30:36.583
00:30:36.583,00:30:38.458
00:30:38.458,00:30:40.583
00:30:40.583,00:30:41.583
00:30:41.583,00:30:42.708
00:30:42.708,00:30:45.208
00:30:45.208,00:30:47.208
