Start,End
01:19:52.880,01:19:55.640
01:19:55.640,01:20:06.200
01:20:06.200,01:20:09.320
01:20:09.320,01:20:10.440
01:20:10.440,01:20:14.280
01:20:14.280,01:20:15.600
01:20:15.600,01:20:23.360
01:20:23.360,01:20:28.000
01:20:28.000,01:20:30.640
01:20:30.640,01:20:32.080
01:20:32.080,01:20:34.760
01:20:34.760,01:20:36.680
01:20:36.680,01:20:42.040
01:20:42.040,01:20:44.200
01:20:44.200,01:20:46.480
01:20:46.480,01:20:50.320
01:20:50.320,01:20:51.520
01:20:51.520,01:20:54.560
01:20:54.560,01:21:15.840
01:21:15.840,01:21:18.160
01:21:18.160,01:21:26.160
01:21:26.160,01:21:27.640
01:21:27.640,01:21:32.560
01:21:32.560,01:21:35.920
01:21:35.920,01:21:37.560
01:21:37.560,01:21:59.080
01:21:59.080,01:22:04.320
01:22:04.320,01:22:25.880
01:22:25.880,01:22:29.120
01:22:29.120,01:22:38.960
01:22:38.960,01:22:46.160
01:22:46.160,01:22:56.080
01:22:56.080,01:23:01.120
01:23:01.120,01:23:09.040
01:23:09.040,01:23:49.240
01:23:49.240,01:23:56.840
01:23:56.840,01:24:08.760
01:24:08.760,01:24:17.360
01:24:17.360,01:24:25.480
01:24:25.480,01:24:29.800
01:24:29.800,01:24:42.120
01:24:42.120,01:24:46.520
01:24:46.520,01:24:50.320
01:24:50.320,01:24:53.840
01:24:53.840,01:24:58.320
01:24:58.320,01:25:02.840
01:25:02.840,01:25:05.240
01:25:05.240,01:25:09.040
01:25:09.040,01:25:17.240
01:25:17.240,01:25:20.360
01:25:20.360,01:25:31.440
01:25:31.440,01:25:35.440
01:25:35.440,01:25:40.880
01:25:40.880,01:25:49.680
01:25:49.680,01:25:51.960
01:25:51.960,01:26:00.080
01:26:00.080,01:26:03.920
01:26:03.920,01:26:15.440
01:26:15.440,01:26:32.040
01:26:32.040,01:27:05.360
01:27:05.360,01:27:33.640
01:27:33.640,01:27:39.640
01:27:39.640,01:28:22.840
01:28:22.840,01:28:27.280
01:28:27.280,01:28:29.240
01:28:29.240,01:28:32.480
01:28:32.480,01:28:34.800
01:28:34.800,01:28:38.120
01:28:38.120,01:28:40.280
01:28:40.280,01:29:01.240
01:29:01.240,01:29:41.720
