Start,End
00:58:34.386,00:58:54.197
00:58:54.197,00:59:08.545
00:59:08.545,00:59:17.053
00:59:17.053,01:00:02.474
01:00:02.474,01:00:42.013
01:00:42.013,01:00:45.517
01:00:45.517,01:00:52.274
01:00:52.274,01:01:08.832
01:01:08.832,01:01:12.294
01:01:12.294,01:01:16.298
01:01:16.298,01:01:27.684
01:01:27.684,01:01:44.451
01:01:44.451,01:02:05.513
01:02:05.513,01:02:18.443
01:02:18.443,01:02:41.174
01:02:41.174,01:02:58.942
01:02:58.942,01:02:59.943
01:02:59.943,01:03:11.371
01:03:11.371,01:03:13.164
01:03:13.164,01:03:14.708
01:03:14.708,01:03:17.502
01:03:17.502,01:03:31.266
01:03:31.266,01:03:43.570
01:03:43.570,01:03:53.204
01:03:53.204,01:04:02.714
01:04:02.714,01:04:06.217
01:04:06.217,01:04:07.844
01:04:07.844,01:04:15.268
01:04:15.268,01:04:25.070
01:04:25.070,01:04:25.737
01:04:25.737,01:04:36.748
01:04:36.748,01:04:38.917
01:04:38.917,01:04:45.507
01:04:45.507,01:04:53.932
01:04:53.932,01:05:02.107
01:05:02.107,01:05:03.024
01:05:03.024,01:05:04.567
01:05:04.567,01:05:10.782
01:05:10.782,01:05:16.287
01:05:16.287,01:05:17.288
01:05:17.288,01:05:18.289
01:05:18.289,01:05:41.312
01:05:41.312,01:05:52.323
01:05:52.323,01:05:56.494
01:05:56.494,01:05:58.413
01:05:58.413,01:06:05.086
01:06:05.086,01:06:07.130
01:06:07.130,01:06:46.169
01:06:46.169,01:06:52.926
01:06:52.926,01:06:56.221
01:06:56.221,01:07:11.444
01:07:11.444,01:07:13.446
01:07:13.446,01:07:23.998
01:07:23.998,01:07:29.170
01:07:29.170,01:07:32.632
01:07:32.632,01:07:36.928
01:07:36.928,01:07:46.437
01:07:46.437,01:07:55.780
01:07:55.780,01:08:02.745
01:08:02.745,01:08:15.717
01:08:15.717,01:08:17.885
01:08:17.885,01:08:21.973
01:08:21.973,01:08:23.474
01:08:23.474,01:08:24.976
01:08:24.976,01:08:25.768
01:08:25.768,01:08:27.854
01:08:27.854,01:08:43.494
01:08:43.494,01:08:44.495
01:08:44.495,01:08:48.207
01:08:48.207,01:08:57.717
01:08:57.717,01:09:19.781
01:09:19.781,01:09:25.453
01:09:25.453,01:09:40.301
01:09:40.301,01:09:42.762
01:09:42.762,01:10:04.242
01:10:04.242,01:10:12.375
01:10:12.375,01:10:14.377
01:10:14.377,01:10:15.753
