Start,End
00:44:37.594,00:44:39.721
00:44:39.721,00:44:48.021
00:44:48.021,00:44:57.656
00:44:57.656,00:44:59.408
00:44:59.408,00:45:01.118
00:45:01.118,00:45:02.703
00:45:02.703,00:45:04.955
00:45:04.955,00:45:06.790
00:45:06.790,00:45:07.833
00:45:07.833,00:45:09.126
00:45:09.126,00:45:11.587
00:45:11.587,00:45:15.257
00:45:15.257,00:45:16.675
00:45:16.675,00:45:19.303
00:45:19.303,00:45:21.013
00:45:21.013,00:45:24.641
00:45:24.641,00:45:25.601
00:45:25.601,00:45:26.935
00:45:26.935,00:45:30.522
00:45:30.522,00:45:32.733
00:45:32.733,00:45:33.984
00:45:33.984,00:45:36.236
00:45:36.236,00:45:38.488
00:45:38.488,00:45:41.783
00:45:41.783,00:45:43.035
00:45:43.035,00:45:44.536
00:45:44.536,00:45:46.747
00:45:46.747,00:45:54.046
00:45:54.046,00:45:55.214
00:45:55.214,00:45:56.423
00:45:56.423,00:45:58.008
00:45:58.008,00:46:00.093
00:46:00.093,00:46:03.347
00:46:03.347,00:46:05.724
00:46:05.724,00:46:06.642
00:46:06.642,00:46:08.393
00:46:08.393,00:46:10.187
00:46:10.187,00:46:11.772
00:46:11.772,00:46:14.149
00:46:14.149,00:46:16.360
00:46:16.360,00:46:18.904
00:46:18.904,00:46:21.448
00:46:21.448,00:46:41.051
00:46:41.051,00:46:50.811
00:46:50.811,00:46:54.273
00:46:54.273,00:46:56.066
00:46:56.066,00:47:04.241
00:47:04.241,00:47:05.742
00:47:05.742,00:47:12.082
00:47:12.082,00:47:14.751
00:47:14.751,00:47:15.752
00:47:15.752,00:47:17.004
00:47:17.004,00:47:20.132
00:47:20.132,00:47:24.261
00:47:24.261,00:47:34.354
00:47:34.354,00:47:36.273
00:47:36.273,00:47:51.371
00:47:51.371,00:47:54.499
00:47:54.499,00:47:58.795
00:47:58.795,00:48:03.175
00:48:03.175,00:48:04.593
00:48:04.593,00:48:09.223
00:48:09.223,00:48:18.482
00:48:18.482,00:48:19.399
00:48:19.399,00:48:32.329
00:48:32.329,00:48:34.248
00:48:34.248,00:48:38.460
